Run_ID,Model,Version,Status,Total_Epochs,Best_Epoch,Window_Len,Hop_Len,Layers,Hidden,NHead,Dim_FF,Val CER,Test CER
champion_3,cnn_lstm_ctc,version_1,✅ Done,500,422,8000,32,2,512,N/A,N/A,13.291980743408203,13.356386184692383
champion_5,cnn_lstm_ctc,version_1,✅ Done,464,363,6000,16,2,512,N/A,N/A,14.646018028259277,15.128593444824219
champion_6,cnn_rnn_ctc,version_1,✅ Done,500,470,6000,32,3,256,N/A,N/A,14.469026565551758,15.387940406799316
champion_15,lstm_ctc,version_1,✅ Done,343,242,8000,16,2,512,N/A,N/A,14.86486530303955,15.755349159240723
champion_17,lstm_ctc,version_1,✅ Done,427,326,8000,16,2,512,N/A,N/A,14.776251792907715,15.906635284423828
champion_23,tcn_ctc,version_1,✅ Done,500,448,8000,32,N/A,N/A,N/A,N/A,14.06734561920166,16.079532623291016
champion_21,tcn_ctc,version_1,✅ Done,500,448,8000,32,N/A,N/A,N/A,N/A,14.06734561920166,16.079532623291016
champion_22,tcn_ctc,version_1,✅ Done,485,384,4000,32,N/A,N/A,N/A,N/A,15.330083847045898,16.252431869506836
champion_16,lstm_ctc,version_1,✅ Done,218,117,8000,16,2,512,N/A,N/A,18.653079986572266,17.57077980041504
champion_7,cnn_rnn_ctc,version_1,✅ Done,500,406,8000,32,2,256,N/A,N/A,15.662384033203125,17.89496421813965
champion_14,gru_ctc,version_1,✅ Done,202,101,8000,32,5,256,N/A,N/A,15.640230178833008,18.543333053588867
champion_10,crnn_ctc,version_1,✅ Done,143,42,6000,32,3,512,N/A,N/A,19.314159393310547,18.65139389038086
champion_12,gru_ctc,version_1,✅ Done,196,95,8000,64,3,512,N/A,N/A,17.722640991210938,18.673006057739258
champion_11,crnn_ctc,version_1,✅ Done,169,68,6000,32,2,512,N/A,N/A,18.960176467895508,18.694618225097656
champion_8,cnn_rnn_ctc,version_1,✅ Done,234,133,8000,32,3,256,N/A,N/A,16.814355850219727,18.75945472717285
champion_20,rnn_ctc,version_1,✅ Done,500,420,8000,64,2,512,N/A,N/A,16.858661651611328,18.97557830810547
champion_4,cnn_lstm_ctc,version_1,✅ Done,500,448,4000,32,2,512,N/A,N/A,14.200265884399414,19.796844482421875
champion_9,crnn_ctc,version_1,✅ Done,132,31,8000,32,3,512,N/A,N/A,17.811254501342773,19.86168098449707
champion_18,rnn_ctc,version_1,✅ Done,294,193,8000,64,5,256,N/A,N/A,17.789100646972656,21.2880916595459
champion_19,rnn_ctc,version_1,✅ Done,294,193,8000,64,5,256,N/A,N/A,17.789100646972656,21.2880916595459
champion_13,gru_ctc,version_1,✅ Done,143,42,8000,32,5,512,N/A,N/A,23.15019989013672,21.785173416137695
